,id_municipio,sigla_uf,ano,rbc_corrente,rbc_transf,d_educacao,d_educacao_fund,d_educacao_inf,taxa_aprovacao_inicial,indicador_rendimento_inicial,nota_saeb_matematica_inicial,nota_saeb_lingua_portuguesa_inicial,ideb_inicial,taxa_aprovacao_final,indicador_rendimento_final,nota_saeb_matematica_final,nota_saeb_lingua_portuguesa_final,ideb_final,inse_2019,populacao_estimada,populacao_0_15_anos,pib,name_region
314,3109808,MG,2017,29894211.69,25280423.22,3955381.28,2574916.04,1258478.58,95.5,0.95740098,236.97,231.86,6.4,100.0,1.0,274.51,270.04,5.7,5.1399,2662,572,74793698,Sudeste
315,3109808,MG,2019,31727773.93,26074562.8,4796596.22,2619768.11,1235818.11,96.8,0.97116101,221.1,223.83,6.1,98.7,0.987598,259.95,266.95,5.4,5.1399,2692,575,80898880,Sudeste
324,3109907,MG,2013,18453000.07,16766915.06,4080975.9,3023797.85,604271.14,98.8,0.98635602,231.36,209.58,6.1,91.5,0.91247702,280.42,263.61,5.2,5.0329,10822,2037,217102547,Sudeste
325,3109907,MG,2015,20907884.12,18530415.22,5389122.73,4154014.53,725064.98,98.7,0.98328799,,,6.5,91.6,0.91195202,,,5.2,5.0329,11101,1954,198472970,Sudeste
326,3109907,MG,2017,23883937.79,21515867.24,5637792.85,4144954.6,979769.76,100.0,1.0,257.51,239.13,7.2,92.0,0.92277002,263.7,270.39,5.1,5.0329,11363,1936,252736390,Sudeste
327,3109907,MG,2019,28423029.75,25469057.7,7082391.57,5147008.25,1295056.46,99.0,0.98996598,253.86,239.22,7.1,96.4,0.965038,285.54,262.35,5.6,5.0329,11624,1938,274277711,Sudeste
400,3159605,MG,2013,67302601.92,56508491.1,16962464.78,11140487.84,3172194.53,94.6,0.945122,228.3,206.67,5.7,77.5,0.78790402,278.47,268.48,4.6,5.129,40092,8438,1266645031,Sudeste
401,3159605,MG,2015,76616981.41,61325622.64,20152939.52,12569463.32,4166254.76,94.9,0.94921798,,,5.9,80.2,0.79888397,,,4.6,5.129,41195,8379,1427752141,Sudeste
402,3159605,MG,2017,89451883.06,73080045.92,22786856.86,15388693.68,3519663.86,94.7,0.94649702,248.61,234.61,6.6,82.4,0.83659703,,,,5.129,42227,8301,1558173042,Sudeste
403,3159605,MG,2019,102795941.54,84390597.19,25901156.11,15288877.92,5672346.8,96.4,0.96440798,245.91,228.3,6.6,83.5,0.84076899,268.27,265.95,4.7,5.129,43260,8317,1649992305,Sudeste
468,3108404,MG,2013,23981589.11,21393469.6,6905769.47,6101982.55,609434.73,98.6,0.98466903,255.27,238.25,7.1,93.6,0.940382,281.72,279.19,5.7,5.2235,15118,2956,158516075,Sudeste
469,3108404,MG,2015,28092590.18,23932855.59,7446101.56,6196744.26,904829.77,96.3,0.95625401,,,6.3,90.2,0.89967197,,,5.6,5.2235,15067,2772,241647003,Sudeste
470,3108404,MG,2017,31834182.83,27602137.1,7684145.25,6600608.4,701421.39,99.6,0.99658197,239.72,232.25,6.7,88.8,0.88861698,278.61,280.79,5.3,5.2235,15019,2684,234446263,Sudeste
471,3108404,MG,2019,39141016.72,34650400.43,9619149.44,6294330.78,2937737.55,98.8,0.98925102,234.22,225.47,6.5,88.8,0.896824,289.7,280.6,5.5,5.2235,14971,2623,229777144,Sudeste
472,3159803,MG,2013,83640963.05,68864911.22,12717651.49,9511991.64,1566374.77,99.7,0.99718797,222.14,203.13,5.9,97.5,0.97424102,250.17,247.66,4.8,4.8412,18905,3756,506636956,Sudeste
473,3159803,MG,2015,99712807.37,79228350.98,16228722.36,12273386.43,2216004.87,100.0,1.0,,,6.3,100.0,1.0,,,,4.8412,19197,3708,593277389,Sudeste
474,3159803,MG,2017,125038000.6,105960653.0,18950202.73,12503658.77,3589432.76,100.0,1.0,222.75,216.75,6.2,96.5,0.96991301,,,,4.8412,19469,3638,721372988,Sudeste
475,3159803,MG,2019,147165125.01,126853901.51,24584235.84,13904867.8,5869349.55,99.5,0.99477601,222.92,208.07,6.0,,,,,,4.8412,19742,3608,668036124,Sudeste
476,3521903,SP,2013,45077120.25,36283598.41,12305540.43,8572447.64,3632499.68,98.5,0.98504502,255.94,220.94,6.8,94.9,0.948659,275.79,265.26,5.4,5.2352,15038,2546,395821741,Sudeste
477,3521903,SP,2015,52669842.44,38897095.07,14317777.84,10203315.24,4018777.08,99.2,0.99229199,,,7.1,96.6,0.96664298,,,5.8,5.2352,15115,2462,445810749,Sudeste
478,3521903,SP,2017,61945884.41,44104782.48,15467289.68,10879591.1,4482519.12,99.5,0.99494499,269.92,244.61,7.5,93.6,0.93856901,293.67,279.52,5.8,5.2352,15190,2392,1302754791,Sudeste
479,3521903,SP,2019,75942858.79,52814692.54,17724709.73,12443853.97,5163138.26,100.0,1.0,264.48,236.75,7.3,98.4,0.98437202,301.17,283.45,6.3,5.2352,15262,2338,612083796,Sudeste
484,3157252,MG,2013,13959157.16,13430934.79,4718234.33,3339271.53,1003566.34,98.4,0.98296201,196.91,191.3,5.1,86.9,0.87907201,,,,4.6176,7934,1786,58069649,Sudeste
485,3157252,MG,2015,15235084.93,14663582.14,5063150.48,4201186.94,524707.64,95.3,0.95065397,,,5.5,75.7,0.78228903,,,4.5,4.6176,8008,1701,69337390,Sudeste
486,3157252,MG,2017,17666558.37,16827645.64,6213429.65,5455895.56,435790.13,96.1,0.95594198,209.53,190.49,5.2,80.2,0.80861801,255.53,269.77,4.4,4.6176,8078,1644,79344626,Sudeste
487,3157252,MG,2019,20140306.01,19284807.23,8518982.01,7421821.11,759654.33,96.5,0.96385199,207.63,192.91,5.2,85.3,0.86341298,241.75,248.69,4.2,4.6176,8147,1608,95636300,Sudeste
516,3509304,SP,2013,24779564.11,21534068.11,9072377.22,6991990.61,1331410.82,99.8,0.99818701,260.6,229.27,7.1,99.4,0.99398798,265.6,253.19,5.3,5.2442,10193,1940,112942685,Sudeste
517,3509304,SP,2015,28147998.21,24487562.24,9952458.22,7597354.76,1438723.13,100.0,1.0,,,6.9,99.0,0.98998702,,,5.3,5.2442,10314,1893,115952864,Sudeste
518,3509304,SP,2017,31980228.46,27363371.44,10314213.8,8090323.44,1367221.27,100.0,1.0,250.49,235.53,7.0,99.4,0.99370998,286.5,283.07,6.1,5.2442,10429,1835,153181327,Sudeste
519,3509304,SP,2019,37193164.73,32462297.73,10735479.99,8587173.08,1245603.08,99.8,0.99818701,253.32,236.6,7.1,100.0,1.0,284.42,272.98,6.0,5.2442,10542,1787,155269114,Sudeste
524,3519402,SP,2013,29901669.0,25030951.0,9131152.0,7335697.0,1406286.0,98.5,0.98471999,243.57,212.1,6.4,99.6,0.99543798,276.6,255.35,5.5,5.2573,11585,2239,185238777,Sudeste
525,3519402,SP,2015,35331068.32,28239594.83,11732662.86,8090059.99,2521729.26,99.6,0.99597198,,,7.5,99.3,0.99319798,,,6.1,5.2573,11865,2275,212054491,Sudeste
526,3519402,SP,2017,39207343.93,31364346.4,12577114.62,8085228.33,2866047.31,100.0,1.0,266.82,243.33,7.5,98.6,0.98728299,296.32,277.27,6.1,5.2573,12133,2308,249562173,Sudeste
527,3519402,SP,2019,44250363.57,36307156.84,14467532.61,8933244.68,3209262.98,100.0,1.0,260.98,240.61,7.3,100.0,1.0,299.67,275.66,6.3,5.2573,12393,2354,244950654,Sudeste
540,3136702,MG,2013,1082022014.62,652748915.28,210544859.51,152247401.79,31544188.75,90.4,0.90823299,203.69,190.86,4.8,77.4,0.78342599,259.85,254.82,4.1,5.0763,540473,98258,13196897610,Sudeste
541,3136702,MG,2015,1324547684.88,757817363.31,265754675.76,190456868.81,39017698.61,91.9,0.91510397,,,4.9,77.5,0.78465003,,,4.2,5.0763,550360,96622,14436472038,Sudeste
542,3136702,MG,2017,1437520937.71,814823531.93,306775178.39,220718767.35,48039019.81,92.1,0.92016202,207.38,202.16,5.2,79.4,0.80085897,253.83,256.17,4.1,5.0763,559608,95012,15990009385,Sudeste
543,3136702,MG,2019,1641196634.49,898385824.81,318166681.28,231990735.56,54798816.87,93.0,0.93078601,207.16,197.96,5.1,82.6,0.83358002,253.05,252.44,4.2,5.0763,568873,94478,18695464852,Sudeste
556,3540804,SP,2013,49061815.58,39023387.62,14090139.4,9452955.82,3628981.25,94.2,0.94124401,240.0,215.24,6.1,90.8,0.90665001,283.75,273.57,5.4,5.3299,16355,3087,414888847,Sudeste
557,3540804,SP,2015,54792107.19,42454257.61,16244398.12,10100645.56,4878752.76,99.2,0.99195498,,,6.9,95.7,0.95603502,,,5.9,5.3299,16703,3164,459447217,Sudeste
558,3540804,SP,2017,59980592.53,46712502.17,14944640.48,10193332.67,3216507.61,96.7,0.96689898,245.19,227.5,6.6,83.2,0.82838202,273.63,267.35,4.7,5.3299,17037,3177,551483404,Sudeste
559,3540804,SP,2019,71886151.67,57371216.31,18544405.97,11445476.27,5291949.65,97.8,0.97779101,255.08,235.71,7.0,96.5,0.96566302,288.76,277.51,5.9,5.3299,17361,3213,458620937,Sudeste
564,3530607,SP,2013,971214643.66,575814693.17,235932146.98,144392638.56,71552215.09,97.1,0.96344501,214.94,198.46,5.5,81.7,0.81747001,285.0,278.92,5.0,5.2528,413937,96024,12869867329,Sudeste
565,3530607,SP,2015,1113986034.19,638783751.31,269436515.47,153337264.61,92449347.18,99.2,0.99175298,,,6.3,91.4,0.91508502,,,5.7,5.2528,424983,95010,14200699931,Sudeste
566,3530607,SP,2017,1306996301.6,692427521.83,303440095.34,167004045.66,113589133.48,99.5,0.995395,243.19,234.78,6.8,97.9,0.97450101,277.44,275.95,5.7,5.2528,435572,94602,14711581277,Sudeste
567,3530607,SP,2019,1559902182.41,807033209.1,386074776.19,216321456.38,145087835.01,99.6,0.99559402,247.88,230.32,6.9,99.4,0.99395603,282.79,278.61,6.0,5.2528,445842,94763,16220410121,Sudeste
588,3531407,SP,2013,52611063.75,46200069.33,14586257.08,10171509.16,3687987.12,95.5,0.95472801,231.19,209.75,5.9,98.9,0.98969102,256.75,248.11,5.0,5.2002,23242,4393,580018401,Sudeste
589,3531407,SP,2015,56556622.35,49438684.26,17898669.9,11198223.63,5214909.76,98.3,0.97982597,,,6.4,98.4,0.98392999,,,5.1,5.2002,23881,4526,574071622,Sudeste
590,3531407,SP,2017,65386118.17,56832363.59,19649516.61,12809247.75,5324353.69,97.4,0.97661799,244.55,228.91,6.6,97.4,0.97360498,260.1,255.88,5.1,5.2002,24493,4583,758348911,Sudeste
591,3531407,SP,2019,80146959.11,66720272.81,22629132.5,15076151.86,5595344.58,99.1,0.99109101,251.53,228.88,6.9,98.8,0.988177,264.1,259.1,5.3,5.2002,25087,4670,610622712,Sudeste
600,3557105,SP,2013,201159660.6,128118851.37,50352528.38,30175575.75,19209611.36,99.6,0.99638098,237.86,216.63,6.4,97.0,0.96973002,,,,5.2975,89445,15645,2262837619,Sudeste
601,3557105,SP,2015,239150451.08,145913403.58,53962096.5,29117640.77,23859473.07,99.0,0.99021298,,,6.6,96.6,0.97558397,,,,5.2975,91212,15470,2523332836,Sudeste
602,3557105,SP,2017,280854947.38,165647823.67,64831780.99,35749453.44,27861702.6,98.9,0.98922598,248.25,232.02,6.8,90.0,0.89111,241.88,243.0,4.2,5.2975,92905,15386,2791186586,Sudeste
603,3557105,SP,2019,341020970.7,191950571.63,72792619.68,39118094.32,32222783.97,99.3,0.99265301,249.85,232.35,6.9,98.0,0.97956997,256.47,245.86,4.9,5.2975,94547,15402,2953318009,Sudeste
612,3170701,MG,2013,260639361.08,170619638.48,48943282.48,42899267.3,4032266.05,94.5,0.94507998,236.63,218.67,6.1,90.3,0.899468,272.83,269.64,5.1,5.3144,128833,25596,4064742728,Sudeste
613,3170701,MG,2015,323685096.12,185586075.44,62432758.38,45656378.09,10339444.54,94.1,0.93945098,,,6.2,91.9,0.91528201,,,5.4,5.3144,131174,25096,4609286760,Sudeste
614,3170701,MG,2017,390216665.95,224280205.74,64243359.45,47664991.09,9630000.46,95.7,0.958076,247.66,239.39,6.7,90.7,0.90769398,291.61,288.27,5.7,5.3144,133364,24738,5442493923,Sudeste
615,3170701,MG,2019,530192812.2,324457136.03,80392484.21,61110995.34,13182869.16,97.4,0.97382301,237.86,223.13,6.4,96.4,0.96332699,288.83,283.67,6.0,5.3144,135558,24655,6297671585,Sudeste
667,3152501,MG,2013,295097292.06,200862447.94,79151858.71,73741744.54,2777262.93,95.0,0.95291603,235.16,217.11,6.1,86.1,0.86455601,278.75,272.3,5.1,5.3314,139070,27745,5141835507,Sudeste
668,3152501,MG,2015,401252444.82,282446689.06,90958716.74,82741989.6,1312361.83,95.2,0.94927299,,,6.1,87.1,0.87302601,,,5.1,5.3314,143132,27499,6553097490,Sudeste
669,3152501,MG,2017,537514592.0,390733787.66,93067467.48,80662364.28,1396813.7,96.7,0.96732998,242.52,231.66,6.6,90.2,0.90389699,278.85,276.25,5.3,5.3314,146931,27340,7390809863,Sudeste
670,3152501,MG,2019,703584200.12,473968198.07,108193365.34,76864286.01,22140312.96,96.8,0.96839499,236.97,223.02,6.3,89.5,0.89740801,277.89,274.26,5.3,5.3314,150737,27490,8789903109,Sudeste
691,3123403,MG,2013,10106644.79,9711684.12,1988076.86,1382528.75,543969.8,100.0,1.0,232.78,209.05,6.2,96.0,0.954925,,,,4.9534,1487,312,26550162,Sudeste
692,3123403,MG,2015,11952415.68,10931615.53,2427652.42,2002716.99,389394.97,99.1,0.98958302,,,,99.0,0.99206603,,,5.7,4.9534,1501,311,52507485,Sudeste
693,3123403,MG,2017,13320648.57,12525854.9,2612522.72,2341409.16,250258.63,100.0,1.0,210.85,202.27,5.7,96.9,0.95946598,258.95,253.33,5.0,4.9534,1514,303,61548214,Sudeste
694,3123403,MG,2019,16086069.83,15392152.56,2797492.19,2653781.12,112140.3,100.0,1.0,198.14,187.61,5.2,96.5,0.95995498,272.2,271.94,5.5,4.9534,1527,303,55109245,Sudeste
695,3141306,MG,2013,13320592.05,12652349.59,4120550.68,3646388.77,8032.96,100.0,1.0,229.05,212.14,6.2,98.4,0.98264098,283.82,253.97,5.5,5.2131,3608,774,99183831,Sudeste
696,3141306,MG,2015,14417355.47,13894507.97,4093157.3,3142982.98,82363.44,100.0,1.0,,,7.2,94.0,0.93676001,,,5.0,5.2131,3675,744,105047256,Sudeste
697,3141306,MG,2017,17242705.34,16491059.91,4236976.97,3134651.33,193038.8,98.4,0.98269397,242.05,233.96,6.7,93.3,0.93141001,275.95,271.47,5.4,5.2131,3739,733,120499348,Sudeste
698,3141306,MG,2019,21158223.16,20248823.49,5498219.65,3747121.62,963339.38,99.6,0.99593502,248.39,227.0,6.8,97.5,0.97358501,279.95,266.63,5.6,5.2131,3802,732,124748225,Sudeste
707,3517505,SP,2013,50533122.26,41659297.29,16573673.5,14072827.96,2486445.54,94.2,0.94102198,239.97,217.08,6.1,82.8,0.82326102,255.27,245.19,4.1,5.2747,19383,3729,325294949,Sudeste
708,3517505,SP,2015,60654832.5,45804277.76,18451607.47,15611303.97,2823203.5,88.4,0.88169098,,,5.8,94.5,0.94709802,,,5.7,5.2747,20100,3781,463021763,Sudeste
709,3517505,SP,2017,65212483.13,52236000.61,20306143.65,16728870.42,3564133.23,94.6,0.948807,241.55,228.13,6.4,94.2,0.94226497,268.47,270.42,5.3,5.2747,20788,3825,556082774,Sudeste
710,3517505,SP,2019,71847629.64,56649347.08,22683395.31,18249571.69,4423473.62,96.3,0.96170002,231.0,212.41,6.0,94.3,0.94256401,273.1,262.48,5.3,5.2747,21454,3894,622290423,Sudeste
711,3513108,SP,2013,94203422.02,65959087.4,23535717.9,16656276.71,6209545.29,87.6,0.87829298,208.16,186.94,4.7,,,,,,5.4878,33440,7263,942271192,Sudeste
712,3513108,SP,2015,107812270.61,72281741.76,27890740.81,18454883.99,9109340.15,91.6,0.91602898,,,5.7,81.5,0.80320501,,,4.6,5.4878,34081,7140,969739501,Sudeste
713,3513108,SP,2017,121102031.22,77426022.6,28376065.15,19161981.4,8884394.29,89.0,0.88709301,229.72,221.13,5.6,74.2,0.75284898,261.02,254.69,4.0,5.4878,34696,7077,1040650918,Sudeste
714,3513108,SP,2019,151233884.71,93886311.6,28752083.09,19148474.18,9054020.36,88.9,0.88932902,238.36,223.52,5.8,81.9,0.83883703,289.73,289.95,5.3,5.4878,35292,7059,1229659564,Sudeste
731,3118601,MG,2013,1249938811.9,814365614.98,278969379.11,179710431.16,35739283.34,95.7,0.953228,216.22,204.25,5.5,88.4,0.88093501,244.85,240.07,4.2,5.231,631548,129490,24358357708,Sudeste
732,3118601,MG,2015,1423995473.41,889414419.19,310573539.89,218816661.58,43313562.12,96.1,0.96046501,,,5.8,90.1,0.89784098,,,4.6,5.231,642964,127645,26028295052,Sudeste
733,3118601,MG,2017,1577849482.03,968586557.2,354642343.0,253828688.49,53533097.99,96.7,0.96722299,226.75,221.77,6.1,89.4,0.896927,252.47,253.72,4.6,5.231,653641,125598,28995182703,Sudeste
734,3118601,MG,2019,1916765487.7,1130458228.04,413000058.91,287779953.52,77944089.77,94.9,0.949081,227.88,217.0,5.9,90.6,0.90407002,261.08,259.45,4.8,5.231,663855,125057,30441139663,Sudeste
743,3523602,SP,2013,50290667.49,34969935.68,13820855.53,9329969.85,2803553.35,97.0,0.96556199,220.36,202.11,5.6,89.8,0.90188903,238.5,229.58,4.0,5.3013,16676,3218,297670121,Sudeste
744,3523602,SP,2015,57593790.87,36669766.79,17261519.55,10405655.17,4959368.96,97.2,0.972597,,,6.2,97.0,0.97047102,,,4.6,5.3013,17189,3325,402728049,Sudeste
745,3523602,SP,2017,68401832.95,45257772.47,17409041.99,11298072.22,4089334.23,98.1,0.981354,251.25,230.42,6.8,97.8,0.97607702,262.95,262.04,5.3,5.3013,17681,3335,384292290,Sudeste
746,3523602,SP,2019,79197209.47,52368870.37,18524514.99,11802074.31,4819304.98,98.5,0.98543602,259.45,243.22,7.2,94.1,0.93833101,253.49,245.6,4.7,5.3013,18157,3368,716912072,Sudeste
747,3101805,MG,2013,15627447.61,14589113.9,5033803.87,3416516.31,944434.35,97.8,0.97913098,193.16,159.08,4.4,76.8,0.76429701,257.98,244.42,3.9,4.9312,7345,1690,63299441,Sudeste
748,3101805,MG,2015,18418203.92,17204077.46,5637730.22,4083666.64,377647.45,98.0,0.97856802,,,5.5,79.7,0.79799002,,,3.6,4.9312,7372,1571,65790622,Sudeste
749,3101805,MG,2017,19156165.71,17521259.31,5750719.61,3894427.71,380493.24,97.9,0.97905099,189.94,177.33,4.7,86.5,0.865264,253.75,259.0,4.5,4.9312,7398,1509,78747963,Sudeste
750,3101805,MG,2019,22852408.39,20447003.99,5168763.03,3590252.89,374592.61,98.1,0.98037201,211.38,199.27,5.5,76.0,0.75942099,255.11,233.05,3.6,4.9312,7424,1460,85096233,Sudeste
771,3504008,SP,2013,217252674.49,141217167.24,63045457.87,24839695.36,18869364.27,96.4,0.96377999,232.32,212.6,6.0,,,,,,5.4248,99862,19137,2463836013,Sudeste
772,3504008,SP,2015,260108263.83,160688903.42,77293663.23,37674727.21,18767112.66,98.0,0.980165,,,6.5,,,,,,5.4248,101428,19037,2710980634,Sudeste
773,3504008,SP,2017,323709636.13,183932292.8,98823403.91,48396308.59,22286134.73,98.2,0.98199701,245.94,229.24,6.7,,,,,,5.4248,102929,18960,3323418670,Sudeste
774,3504008,SP,2019,314509154.1,180953811.6,109038011.29,44363434.66,27114108.69,98.1,0.98097497,239.63,222.63,6.5,,,,,,5.4248,104386,19007,3541751109,Sudeste
827,3531902,SP,2013,102369834.01,80484608.79,31872771.84,16966810.3,8298050.25,93.1,0.928671,229.58,212.52,5.8,87.8,0.89254498,266.41,267.82,5.0,5.2365,30908,7490,1015886348,Sudeste
828,3531902,SP,2015,111978390.91,85928493.32,34755127.29,11063609.1,9453933.86,93.4,0.93634999,,,5.7,94.1,0.94222897,,,5.0,5.2365,31621,7542,1058652478,Sudeste
829,3531902,SP,2017,122560369.25,98337152.71,34375774.61,18675457.76,8949480.95,92.5,0.92326099,235.66,220.67,6.0,94.2,0.94011098,262.57,276.95,5.3,5.2365,32305,7590,1417196484,Sudeste
830,3531902,SP,2019,147056656.2,107907178.84,39065607.77,20751519.18,10262220.0,93.9,0.94004601,240.22,223.74,6.2,90.7,0.90625298,251.88,256.73,4.7,5.2365,32968,7684,948108224,Sudeste
863,3148103,MG,2013,183450836.26,139669700.81,26423990.17,19311273.06,6999288.16,99.9,0.99859601,237.07,223.21,6.5,93.7,0.93895,277.33,268.92,5.4,5.2794,86299,18799,1793247639,Sudeste
864,3148103,MG,2015,211844320.25,154661608.67,39869017.84,21606654.83,7878762.95,99.4,0.994591,,,7.0,90.2,0.90180397,,,5.7,5.2794,87851,18262,2160226583,Sudeste
865,3148103,MG,2017,292856481.81,186660571.67,47351581.63,20769201.43,7914211.57,99.7,0.99638301,258.55,249.63,7.4,89.2,0.89233899,299.57,293.52,5.8,5.2794,89303,17870,2737823635,Sudeste
866,3148103,MG,2019,326211814.57,221336483.64,53786516.48,24201335.92,9827414.31,99.8,0.99799001,262.01,245.33,7.4,90.3,0.90254402,298.6,293.2,5.9,5.2794,90757,17678,2813720140,Sudeste
